Run,DATA_QUALITY,LOT_ID,MachineRecipeID,PortID,ProcessOpNum,ProductGrpID,ProductID,RouteID,Technology,WAFER_ID,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33
62301,63.49,A,A,A,A,A,A,A,A,1,56.0,0.71,306.0,119.0,129.0,145.0,125.0,3.0,3.0,0.0,7.0,5.85,0.0,9.49,13.0,99.0,6.46,0.0,0.0,0.0,98.0,2.47,4852.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,500.0,81.0,-25.0
62301,63.49,A,A,A,A,A,A,A,A,1,148.0,3.76,308.0,119.0,128.0,144.0,123.0,-72.0,3.0,0.0,7.0,5.84,0.0,9.49,968.0,111.0,16.03,127.0,0.0,0.0,200.0,2.47,4852.0,1.0,0.0,12.0,5.0,1304.0,3110.0,7.0,300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,12.0,4.17,307.0,120.0,128.0,144.0,123.0,-72.0,3.0,0.2,6.83,5.85,0.01,9.63,968.0,111.0,16.06,127.0,35.0,4.04,206.0,2.47,4852.0,1.0,0.0,8.0,4.0,1305.0,3107.0,8.0,300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,19.0,4.44,307.0,119.0,127.0,144.0,123.0,-72.0,3.0,1.8,7.0,6.45,0.61,9.49,968.0,111.0,16.06,86.0,40.0,7.05,199.0,2.47,4852.0,1251.0,0.0,6.0,3.0,1302.0,3104.0,9.0,6200.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,100.0,4.66,307.0,119.0,127.0,145.0,123.0,-72.0,3.0,0.7,7.0,6.33,0.49,9.49,968.0,111.0,16.06,106.0,49.0,9.15,201.0,2.47,4852.0,2651.0,63.0,4.0,2.0,1302.0,3103.0,11.0,1400.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,140.0,4.92,331.0,119.0,127.0,145.0,124.0,-73.0,3.0,0.0,7.0,6.28,0.44,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2801.0,6.0,11.0,5.0,1304.0,3110.0,11.0,9800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,145.0,4.93,337.0,120.0,127.0,145.0,124.0,-73.0,3.0,0.1,7.0,6.27,0.43,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2801.0,5.0,11.0,5.0,1304.0,3110.0,11.0,11300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,145.0,4.93,337.0,120.0,127.0,145.0,124.0,-73.0,3.0,0.1,7.0,6.27,0.43,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2801.0,5.0,11.0,5.0,1304.0,3110.0,11.0,11300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,11.0,4.94,347.0,119.0,127.0,146.0,125.0,-73.0,3.0,0.0,7.0,6.27,0.43,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2802.0,4.0,11.0,5.0,1306.0,3108.0,11.0,14500.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,11.0,4.94,353.0,119.0,127.0,146.0,125.0,-74.0,3.0,0.2,7.0,6.28,0.44,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2803.0,4.0,12.0,5.0,1304.0,3108.0,11.0,16900.0,81.0,1890.0
